time,open,high,low,close,volume,spread,real_volume,pct_from_sma20,pct_from_sma50,rsi,rsi_lag1,macd_hist,bb_position,bb_width,atr_pct,return_1,return_5,body_ratio,volume_ratio,session,dow,momentum_alignment,trend_strength,vol_spike,rsi_extreme,atr_regime,is_london_session,is_ny_session,hour_sin,hour_cos,g2_bias,g2_pass,g3_zones,g3_pass,g4_status,g4_distance_atr,setup_candidate,setup_choch_within_6,setup_choch_age,setup_ready_to_trade,Target
2025-08-26 17:00:00,147.56,147.715,147.484,147.496,5623,13,0,-0.07347339460292451,0.06324168377285849,43.195655104847326,46.548287841733604,-0.0162606933640402,0.34822179782302265,0.4840839695627216,0.14833332041934388,-0.03253266822100809,-0.0298224210383502,0.2770562770562531,1.0774094654148305,1,1,0,0.0683575391878915,0,0,2,0,1,-0.9659258262890683,-0.25881904510252063,neutral,0,0,0,FAIL,,0,0,-1,0,0
2025-08-26 18:00:00,147.496,147.497,147.285,147.312,4498,13,0,-0.18105532486961182,-0.04410457534079111,32.75943617638853,43.195655104847326,-0.028637975268743315,0.1342789041852844,0.4950639351724447,0.1458032708032724,-0.12474914573954443,-0.18227278579219242,0.8679245283018033,0.8504282392089391,1,1,0,0.11257995010520147,0,0,2,0,1,-1.0,-1.8369701987210297e-16,neutral,0,0,0,FAIL,,0,0,-1,0,0
2025-08-26 19:00:00,147.313,147.313,147.092,147.302,3677,13,0,-0.17409996957149318,-0.05704744979987266,32.270514724811946,32.75943617638853,-0.035566480473363145,0.1619706779590451,0.515043986481148,0.13941232492236552,-0.006788313239936006,-0.10647027309286239,0.04977375565609463,0.6894224188845869,1,1,0,0.11557370968568292,0,0,2,0,1,-0.9659258262890684,0.2588190451025203,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-26 20:00:00,147.3,147.384,147.262,147.384,2914,13,0,-0.10945776048745502,-0.00902323176884189,40.65114662813254,32.270514724811946,-0.03276430603646047,0.2902821162218241,0.5219285952896194,0.13138662076131472,0.05566794748204096,-0.10302570220150908,0.6885245901638084,0.5364506627393225,2,1,0,0.059240496128148454,0,0,1,0,1,-0.8660254037844386,0.5000000000000001,neutral,0,0,0,FAIL,,0,0,-1,0,0
2025-08-26 21:00:00,147.383,147.539,147.329,147.369,3051,13,0,-0.10747145194235999,-0.028274749156583297,39.616480586235646,40.65114662813254,-0.030125661638526008,0.2928443757059847,0.5187957233052293,0.13702242088130287,-0.01017749552189029,-0.11860868622242116,0.0666666666667208,0.5521322511468824,2,1,0,0.06787310054947164,0,0,1,0,0,-0.7071067811865477,0.7071067811865474,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-26 22:00:00,147.371,147.436,147.299,147.424,2662,13,0,-0.05721708051879625,-0.0016821944063179005,45.486637419457566,39.616480586235646,-0.023191937856521492,0.38328073328059376,0.49021110333349177,0.13294985891035105,0.03732128195210738,-0.04881488311547777,0.38686131386859196,0.47795173800632,2,1,0,0.029449637462557077,0,0,1,0,0,-0.5000000000000004,0.8660254037844384,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-26 23:00:00,147.426,147.483,147.387,147.426,2004,13,0,-0.06670083050668096,-0.008016938937377238,45.7080904420666,45.486637419457566,-0.01725909584888361,0.3420130267559269,0.4221919639136022,0.12805455909114422,0.0013566312133672653,0.07738677093513946,0.0,0.39622361722109634,2,1,0,0.0373588847220291,0,0,1,0,0,-0.25881904510252157,0.9659258262890681,neutral,0,0,0,FAIL,,0,0,-1,0,0
2025-08-27 00:00:00,147.365,147.374,147.241,147.358,988,79,0,-0.11428447479979738,-0.05956086106747114,39.424951891986474,45.7080904420666,-0.016692496025324015,0.2242659953574598,0.4144736335583819,0.12409040761759586,-0.0461248355106858,0.03801713486579761,0.05263157894741341,0.20419340504903327,2,2,0,0.08692266793363426,0,0,1,0,0,0.0,1.0,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-27 01:00:00,147.373,147.475,147.333,147.426,1125,13,0,-0.06507503965510476,-0.020548460798223672,47.71749689558274,39.424951891986474,-0.01080180708623514,0.3446727370535324,0.41895439616117097,0.12093234184316663,0.04614612033277954,0.028496987461323897,0.3732394366197099,0.2414759007051096,2,2,0,0.04281175022666422,0,0,1,0,0,0.25881904510252074,0.9659258262890683,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-27 02:00:00,147.426,147.499,147.355,147.469,1723,13,0,-0.025083725407784183,-0.00025768061139670506,52.46549458119708,47.71749689558274,-0.003453703974443653,0.43459331122813943,0.38350397916146706,0.12123613388963592,0.029167175396471734,0.06785687627655079,0.298611111111144,0.3794401990794777,2,2,1,0.012670703009590443,0,0,1,0,0,0.49999999999999994,0.8660254037844387,neutral,0,0,0,FAIL,,0,0,-1,0,1
